protein_id	gene_names	peptides	intensity
P63261	ACTG1	29	3769900000
P68431	HIST1H3A	6	3704600000
P62805	HIST1H4A	17	3245600000
P68871	HBB	14	2726800000
P46782	RPS5	11	2591600000
P08727	KRT19	41	2554300000
P08670	VIM	59	2260900000
Q99879	HIST1H2BM	8	2132200000
P21333	FLNA	126	1902300000
O43707	ACTN4	61	1714100000
P12111	COL6A3	101	1637600000
O95994	AGR2	12	1566900000
P02675	FGB	37	1344700000
P02679	FGG	28	1275700000
P08123	COL1A2	13	1240800000
O75369	FLNB	117	1170600000
P02751	FN1	76	1149300000
P10412	HIST1H1E	14	1138500000
P07237	P4HB	37	1107400000
P62736	ACTA2	23	1099300000
P30101	PDIA3	43	1080800000
P06733	ENO1	31	1067400000
P02788	LTF	55	1056500000
P04075	ALDOA	31	997450000
P23381	WARS	33	990450000
Q15149	PLEC	220	952570000
P13667	PDIA4	49	943000000
P06576	ATP5B	21	922830000
P10809	HSPD1	49	910240000
P27797	CALR	20	890640000
Q00610	CLTC	82	874670000
P25705	ATP5A1	31	832550000
P23528	CFL1	18	791260000
P13639	EEF2	55	775870000
P63104	YWHAZ	22	737480000
P05164	MPO	34	700660000
P00558	PGK1	32	696620000
P02545	LMNA	47	686110000
P11142	HSPA8	35	678830000
Q01995	TAGLN	21	670990000
P35555	FBN1	81	662660000
P17931	LGALS3	12	611390000
Q15084	PDIA6	19	566980000
P05141	SLC25A5	17	532600000
Q06830	PRDX1	23	513900000
P04083	ANXA1	28	509960000
Q14764	MVP	47	495210000
Q13813	SPTAN1	119	489460000
P38646	HSPA9	33	483960000
P07437	TUBB	30	474270000
P13796	LCP1	38	467320000
Q01082	SPTBN1	105	463270000
P08311	CTSG	14	445900000
P23284	PPIB	19	438740000
P37802	TAGLN2	17	438210000
P98160	HSPG2	97	437690000
Q9Y490	TLN1	94	437570000
P46940	IQGAP1	69	433410000
P22314	UBA1	35	419240000
P56470	LGALS4	13	417260000
P49327	FASN	83	417060000
P62979	RPS27A	12	416700000
P16401	HIST1H1B	10	406250000
P12109	COL6A1	31	399020000
P04843	RPN1	29	372760000
P36578	RPL4	26	366680000
P05091	ALDH2	25	363710000
P09525	ANXA4	22	363430000
P12814	ACTN1	58	356710000
P24821	TNC	63	356180000
P08865	RPSA	13	356070000
P18206	VCL	58	349020000
P27824	CANX	23	347310000
Q8NBS9	TXNDC5	19	346960000
P05387	RPLP2	8	346900000
P61978	HNRNPK	20	346090000
Q14697	GANAB	37	330380000
Q00839	HNRNPU	34	325380000
P21796	VDAC1	18	324550000
P61604	HSPE1	9	323380000
Q15063	POSTN	29	318120000
Q06323	PSME1	17	310910000
Q14204	DYNC1H1	135	308910000
P61626	LYZ	9	305040000
P12110	COL6A2	24	303260000
Q8N257	HIST3H2BB	7	300130000
Q9Y6R7	FCGBP	58	299360000
P40926	MDH2	18	292430000
P26641	EEF1G	22	285530000
P19338	NCL	29	283670000
P06744	GPI	22	277250000
P50395	GDI2	35	276560000
P62258	YWHAE	22	274930000
P20591	MX1	30	274300000
P62701	RPS4X	21	274080000
Q7Z406	MYH14	84	264780000
P60842	EIF4A1	21	264740000
O00299	CLIC1	16	260220000
P15924	DSP	97	257830000
Q15582	TGFBI	27	257330000
P62424	RPL7A	13	255230000
P12429	ANXA3	21	254880000
Q02878	RPL6	18	249890000
P07339	CTSD	17	248840000
P23396	RPS3	24	247250000
P42224	STAT1	37	242670000
P52597	HNRNPF	13	238840000
Q9P2E9	RRBP1	49	236410000
P63244	GNB2L1	18	234310000
Q07065	CKAP4	32	232770000
P01023	A2M	50	230750000
P00918	CA2	15	229330000
P11678	EPX	32	227340000
Q9Y6N5	SQRDL	26	227320000
P62241	RPS8	14	226560000
P30041	PRDX6	20	221950000
P09651	HNRNPA1	24	219790000
P53621	COPA	56	219440000
P49368	CCT3	33	213740000
P15880	RPS2	15	213270000
P48735	IDH2	26	210220000
P50454	SERPINH1	19	208370000
P31146	CORO1A	21	208160000
P26038	MSN	40	208140000
Q14103	HNRNPD	13	206870000
Q99497	PARK7	12	205330000
Q99715	COL12A1	71	201440000
P61247	RPS3A	20	199840000
O60506	SYNCRIP	28	193900000
P62277	RPS13	10	193270000
Q15365	PCBP1	13	193100000
P46781	RPS9	13	188890000
Q96PZ0	PUS7	1	187170000
O15143	ARPC1B	15	184660000
P52272	HNRNPM	35	183480000
O75083	WDR1	30	183370000
P39019	RPS19	11	181460000
P07148	FABP1	10	179580000
P00966	ASS1	19	179220000
P08246	ELANE	9	179040000
P78527	PRKDC	97	177510000
Q9UL46	PSME2	19	177510000
P21810	BGN	13	177420000
P62750	RPL23A	14	177210000
P16615	ATP2A2	36	177200000
P04792	HSPB1	12	177050000
Q92841	DDX17	26	174630000
Q12864	CDH17	24	174500000
P52209	PGD	22	174020000
P53618	COPB1	32	173450000
P12956	XRCC6	28	173150000
P78371	CCT2	29	170690000
Q07020	RPL18	11	170510000
P14923	JUP	33	169820000
P29692	EEF1D	10	168210000
P35232	PHB	14	165470000
P01833	PIGR	22	163630000
P50914	RPL14	5	161860000
P30040	ERP29	11	161300000
P49411	TUFM	22	160770000
P30050	RPL12	7	159260000
P31948	STIP1	27	158650000
P50991	CCT4	28	153760000
P62917	RPL8	11	152730000
P17174	GOT1	15	152530000
Q96AG4	LRRC59	13	151590000
Q9Y678	COPG1	34	151480000
P42704	LRPPRC	56	151140000
Q08211	DHX9	40	150900000
P50990	CCT8	31	149040000
P32119	PRDX2	12	148860000
P14866	HNRNPL	20	148620000
P45880	VDAC2	17	148080000
Q86VP6	CAND1	36	147860000
P40939	HADHA	31	147640000
O75367	H2AFY	17	146860000
P20700	LMNB1	29	143350000
Q9NZ08	ERAP1	31	142150000
Q00325	SLC25A3	11	141000000
P61353	RPL27	6	139720000
P50995	ANXA11	21	139280000
P62829	RPL23	8	138500000
P05386	RPLP1	3	138270000
Q14974	KPNB1	23	137250000
Q99832	CCT7	27	136270000
P62851	RPS25	5	135400000
P46777	RPL5	14	134440000
P13010	XRCC5	29	134410000
Q63HN8	RNF213	83	133670000
P43490	NAMPT	22	133330000
P30153	PPP2R1A	22	133020000
P62249	RPS16	13	130730000
O00151	PDLIM1	18	130710000
Q99623	PHB2	12	130440000
P61160	ACTR2	15	129570000
P62263	RPS14	10	129550000
P14314	PRKCSH	14	128850000
P09382	LGALS1	7	128390000
P17987	TCP1	28	127960000
Q8WUM4	PDCD6IP	34	126950000
P12724	RNASE3	7	126220000
P26373	RPL13	8	126030000
P00738	HP	17	125800000
P09211	GSTP1	9	125320000
P59998	ARPC4	7	124510000
P02461	COL3A1	4	121960000
P47756	CAPZB	14	121440000
P61313	RPL15	11	120060000
Q13838	DDX39B	15	119910000
P07858	CTSB	9	118650000
P62269	RPS18	12	118170000
O75390	CS	13	117230000
P48643	CCT5	25	116830000
O00571	DDX3X	29	115220000
P31943	HNRNPH1	14	114750000
Q9Y6C2	EMILIN1	30	113920000
Q9UQ80	PA2G4	22	113870000
P09972	ALDOC	11	112750000
P31946	YWHAB	17	111800000
Q02543	RPL18A	12	111730000
P11216	PYGB	31	111570000
Q92616	GCN1L1	77	111440000
P11586	MTHFD1	31	111390000
P08572	COL4A2	10	110150000
Q96QK1	VPS35	24	109840000
P34932	HSPA4	38	109640000
P13489	RNH1	22	108110000
P31930	UQCRC1	18	108080000
P01903	HLA-DRA	6	107980000
P40925	MDH1	14	107450000
Q9BS26	ERP44	13	106940000
Q9Y3Z3	SAMHD1	30	105470000
P62280	RPS11	9	105180000
O15144	ARPC2	17	104090000
P48047	ATP5O	10	103940000
P46779	RPL28	10	103470000
P07954	FH	19	103440000
P51659	HSD17B4	29	102550000
P55084	HADHB	24	102040000
P83731	RPL24	7	101970000
P37837	TALDO1	13	101310000
Q04917	YWHAH	19	101250000
P35606	COPB2	30	101150000
P13727	PRG2	9	100610000
P22695	UQCRC2	17	99763000
P62899	RPL31	9	98871000
P26599	PTBP1	13	98093000
P62753	RPS6	12	97599000
P31947	SFN	16	96850000
P62913	RPL11	11	96630000
Q9H299	SH3BGRL3	4	95616000
P49207	RPL34	7	95574000
P39656	DDOST	13	95496000
P00387	CYB5R3	13	93410000
P78417	GSTO1	11	92579000
P49748	ACADVL	28	92237000
P42765	ACAA2	21	91436000
P61254	RPL26	9	91337000
P32455	GBP1	22	90579000
Q13263	TRIM28	22	90117000
Q15366	PCBP2	9	90092000
Q12906	ILF3	26	88650000
