protein_id	gene_names	peptides	intensity
P68871	HBB	13	1513000000
P62805	HIST1H4A	11	1001100000
P63261	ACTG1	21	941770000
P02675	FGB	38	922450000
P02679	FGG	26	674770000
P68431	HIST1H3A	6	504460000
P10809	HSPD1	40	503470000
P02751	FN1	66	471890000
P08670	VIM	46	428880000
P04075	ALDOA	28	383520000
P21333	FLNA	113	375620000
Q99879	HIST1H2BM	8	352160000
P12111	COL6A3	86	337280000
P08727	KRT19	31	334050000
P25705	ATP5A1	28	330800000
P06576	ATP5B	18	328870000
P06733	ENO1	31	314520000
P07237	P4HB	29	306340000
P10412	HIST1H1E	12	304350000
P02545	LMNA	37	275850000
O43707	ACTN4	52	263320000
P40926	MDH2	19	260100000
O95994	AGR2	9	244560000
P24821	TNC	59	220960000
P21796	VDAC1	18	220550000
P23528	CFL1	14	218350000
P00558	PGK1	25	213340000
P05141	SLC25A5	14	202570000
P62736	ACTA2	18	185110000
P63104	YWHAZ	19	175080000
Q01995	TAGLN	14	170810000
P17931	LGALS3	10	166030000
Q15063	POSTN	35	164210000
P35555	FBN1	60	161120000
P09382	LGALS1	8	158750000
P38646	HSPA9	27	158280000
O75369	FLNB	86	157000000
P13639	EEF2	34	154320000
Q00610	CLTC	57	153300000
P61604	HSPE1	10	152030000
P30101	PDIA3	31	142650000
Q06830	PRDX1	16	142220000
Q15582	TGFBI	28	141430000
Q13813	SPTAN1	96	139260000
P08123	COL1A2	10	137810000
P11142	HSPA8	32	137360000
Q15149	PLEC	143	124030000
P45880	VDAC2	15	122800000
P05387	RPLP2	8	115520000
P60174	TPI1	15	114050000
P02788	LTF	41	111790000
P61978	HNRNPK	15	110320000
P23284	PPIB	12	99718000
Q01082	SPTBN1	78	97615000
Q15084	PDIA6	16	96977000
P98160	HSPG2	62	96856000
P19338	NCL	24	96488000
P06744	GPI	18	96166000
P62258	YWHAE	14	93934000
P12109	COL6A1	21	93809000
P62424	RPL7A	13	92622000
Q14764	MVP	30	92439000
P61626	LYZ	9	90485000
Q9Y490	TLN1	70	87323000
P00738	HP	21	85611000
Q99715	COL12A1	66	85271000
P08311	CTSG	12	85052000
P62979	RPS27A	7	85014000
Q00325	SLC25A3	8	84948000
P56470	LGALS4	9	84176000
O75390	CS	12	83975000
P35232	PHB	14	83745000
P07437	TUBB	23	83683000
Q16555	DPYSL2	20	82893000
P22314	UBA1	28	81360000
P08865	RPSA	10	79690000
P32119	PRDX2	12	79512000
P42704	LRPPRC	53	79486000
P62241	RPS8	11	79237000
P13667	PDIA4	32	79031000
P46940	IQGAP1	51	78991000
P37802	TAGLN2	13	77487000
P01023	A2M	35	76848000
P09211	GSTP1	7	76183000
P27797	CALR	15	75809000
P62826	RAN	9	75751000
P27824	CANX	17	74985000
P05091	ALDH2	22	73616000
Q02878	RPL6	17	72748000
P63244	GNB2L1	15	72733000
P48735	IDH2	23	72593000
P36578	RPL4	20	71756000
P23396	RPS3	18	71210000
P18206	VCL	42	69014000
P12110	COL6A2	15	68599000
P13804	ETFA	14	68541000
P05164	MPO	22	68092000
Q07065	CKAP4	28	67015000
Q15365	PCBP1	7	66238000
P20700	LMNB1	27	65853000
P30041	PRDX6	15	64819000
P12814	ACTN1	45	64808000
P40925	MDH1	13	63801000
Q00839	HNRNPU	24	63502000
O75367	H2AFY	16	62291000
P14174	MIF	2	61108000
P17174	GOT1	15	59057000
P50395	GDI2	22	57843000
P04083	ANXA1	20	56549000
P11216	PYGB	29	56448000
Q86VP6	CAND1	25	55887000
P49368	CCT3	23	55509000
P00505	GOT2	17	55451000
P04792	HSPB1	9	55009000
Q14103	HNRNPD	11	54654000
P46781	RPS9	14	54616000
P62277	RPS13	10	54092000
P24752	ACAT1	11	54067000
P30050	RPL12	6	53211000
Q99497	PARK7	10	52992000
P09651	HNRNPA1	15	52889000
P49411	TUFM	18	52786000
Q07020	RPL18	8	52465000
O00299	CLIC1	13	52168000
Q06323	PSME1	13	52150000
P61247	RPS3A	14	52018000
P51911	CNN1	11	51861000
P50990	CCT8	26	51540000
Q12864	CDH17	19	51527000
P12956	XRCC6	25	51432000
P60842	EIF4A1	15	51277000
P05026	ATP1B1	8	50608000
P30086	PEBP1	9	50107000
P26641	EEF1G	13	50040000
P48047	ATP5O	9	49636000
P78527	PRKDC	73	49351000
P62280	RPS11	11	49221000
P01011	SERPINA3	13	48698000
Q8N257	HIST3H2BB	7	47992000
Q14204	DYNC1H1	87	47844000
P50991	CCT4	17	47402000
Q99832	CCT7	21	47306000
Q15185	PTGES3	8	46884000
P50454	SERPINH1	18	46730000
P15880	RPS2	13	46662000
P10909	CLU	13	46546000
P39019	RPS19	10	46435000
P13489	RNH1	19	46099000
P38117	ETFB	13	45626000
Q92841	DDX17	21	45595000
P62851	RPS25	5	45100000
P62750	RPL23A	10	45032000
Q8NBS9	TXNDC5	15	44927000
P13010	XRCC5	21	44847000
P30040	ERP29	10	44668000
Q14697	GANAB	25	44275000
Q04917	YWHAH	13	43586000
P78371	CCT2	21	42983000
Q15181	PPA1	15	42829000
P62249	RPS16	9	42365000
P26583	HMGB2	7	41759000
P04843	RPN1	21	41510000
P15924	DSP	61	41503000
P21810	BGN	11	41393000
P62701	RPS4X	16	41308000
P49189	ALDH9A1	16	41221000
Q12931	TRAP1	15	41029000
P09525	ANXA4	16	40820000
P54819	AK2	10	40784000
P59998	ARPC4	7	40678000
Q99623	PHB2	13	40600000
Q16658	FSCN1	21	40177000
P40939	HADHA	24	39779000
Q9Y277	VDAC3	11	39221000
Q9UQ80	PA2G4	15	39152000
Q08211	DHX9	27	38995000
P11586	MTHFD1	24	38871000
P34897	SHMT2	17	38180000
P53621	COPA	33	38000000
Q96I99	SUCLG2	19	37668000
P62913	RPL11	9	37533000
P55084	HADHB	15	37213000
P07858	CTSB	8	37128000
P30048	PRDX3	8	36974000
Q9Y6N5	SQRDL	20	36773000
P78417	GSTO1	10	36709000
P26038	MSN	21	36520000
P21291	CSRP1	9	36254000
Q02543	RPL18A	10	36206000
P15559	NQO1	7	35609000
P07339	CTSD	14	35578000
P50914	RPL14	5	35293000
P17987	TCP1	23	34971000
P52272	HNRNPM	17	34517000
P37837	TALDO1	13	34242000
P30044	PRDX5	11	34035000
P50995	ANXA11	15	34016000
O75083	WDR1	17	33535000
Q15366	PCBP2	9	33527000
Q16891	IMMT	24	33483000
P31948	STIP1	19	33042000
P49748	ACADVL	18	32756000
P62753	RPS6	8	32747000
Q07021	C1QBP	6	32517000
Q96AG4	LRRC59	10	32505000
P29692	EEF1D	6	32143000
P13796	LCP1	23	31985000
P36542	ATP5C1	8	31912000
P04080	CSTB	4	31907000
Q13423	NNT	26	30590000
P22695	UQCRC2	15	30366000
Q8WUM4	PDCD6IP	27	30151000
P09874	PARP1	27	30144000
P31930	UQCRC1	14	30098000
Q9P2E9	RRBP1	40	29590000
P26599	PTBP1	10	29572000
O60506	SYNCRIP	17	29468000
P43490	NAMPT	15	29447000
Q96QK1	VPS35	17	29398000
P14923	JUP	21	29266000
P04003	C4BPA	12	29101000
P26373	RPL13	8	28695000
Q13838	DDX39B	11	28622000
P07954	FH	15	28620000
P27348	YWHAQ	12	28317000
P46776	RPL27A	5	27924000
P30049	ATP5D	3	27901000
P51149	RAB7A	12	27664000
P13073	COX4I1	6	27506000
P62917	RPL8	6	27381000
Q03252	LMNB2	24	27310000
Q13263	TRIM28	15	27281000
Q9Y6C2	EMILIN1	26	26820000
Q7Z406	MYH14	50	26735000
P00918	CA2	9	26693000
P62263	RPS14	8	26629000
Q92616	GCN1L1	52	26530000
P30153	PPP2R1A	15	26434000
P68366	TUBA4A	19	26385000
Q14974	KPNB1	19	26339000
P12429	ANXA3	14	26338000
O15143	ARPC1B	11	25487000
Q92945	KHSRP	15	24810000
P02461	COL3A1	5	24808000
Q00796	SORD	13	24759000
Q9Y678	COPG1	23	24525000
Q16762	TST	10	24395000
O75947	ATP5H	11	24391000
P61313	RPL15	8	24330000
P47914	RPL29	2	24314000
O60701	UGDH	16	24283000
P00387	CYB5R3	9	24221000
P14866	HNRNPL	12	24198000
Q8NC51	SERBP1	12	24153000
P09972	ALDOC	13	24145000
P21397	MAOA	15	23889000
P16401	HIST1H1B	8	23872000
P62899	RPL31	4	23851000
Q02978	SLC25A11	10	23802000
P30084	ECHS1	10	23797000
P19367	HK1	23	23744000
P46782	RPS5	7	23698000
Q96S66	CLCC1	2	23632000
P50213	IDH3A	10	23604000
P01833	PIGR	16	23575000
P49327	FASN	33	23478000
P30085	CMPK1	10	23331000
P30837	ALDH1B1	15	23319000
P42166	TMPO	13	23229000
P39656	DDOST	11	23112000
P16615	ATP2A2	21	23093000
Q16836	HADH	6	22984000
P10599	TXN	6	22972000
P08572	COL4A2	9	22928000
P46777	RPL5	10	22882000
Q12906	ILF3	16	22693000
O15144	ARPC2	9	22352000
Q15293	RCN1	9	22338000
P62081	RPS7	8	22221000
O00151	PDLIM1	14	21974000
Q9Y6R7	FCGBP	32	21896000
Q16698	DECR1	10	21835000
P83731	RPL24	6	21370000
Q12905	ILF2	12	21329000
P52209	PGD	17	21241000
P02042	HBD	13	21208000
Q5SSJ5	HP1BP3	12	21176000
Q13011	ECH1	6	20991000
P09960	LTA4H	18	20942000
P34932	HSPA4	21	20928000
P31946	YWHAB	10	20640000
P36957	DLST	10	20587000
P43243	MATR3	19	20563000
P31939	ATIC	20	20491000
P31943	HNRNPH1	11	20442000
P23526	AHCY	10	20377000
P62244	RPS15A	6	20184000
Q9BSJ8	ESYT1	20	20088000
P61981	YWHAG	10	20027000
P00751	CFB	17	20021000
P15153	RAC2	7	19926000
P02763	ORM1	6	19775000
Q9UL46	PSME2	11	19769000
P02743	APCS	8	19714000
O43390	HNRNPR	16	19700000
P35606	COPB2	22	19644000
P46779	RPL28	9	19436000
P53597	SUCLG1	6	19383000
P31146	CORO1A	10	19354000
P08246	ELANE	2	19312000
O94760	DDAH1	8	19207000
P62269	RPS18	8	19084000
P24539	ATP5F1	7	19031000
P53618	COPB1	19	18884000
P31040	SDHA	10	18884000
Q9Y265	RUVBL1	12	18818000
P07741	APRT	8	18595000
P42766	RPL35	2	18510000
P32969	RPL9	7	18490000
Q15907	RAB11B	9	18398000
Q9ULV4	CORO1C	11	18385000
Q9UGM3	DMBT1	5	18216000
P63010	AP2B1	17	18121000
P62829	RPL23	5	18112000
Q92499	DDX1	19	18073000
P47755	CAPZA2	7	18004000
P48643	CCT5	21	17997000
O00571	DDX3X	18	17821000
Q56VL3	OCIAD2	7	17704000
O94832	MYO1D	30	17638000
P55327	TPD52	9	17402000
