protein_id	gene_names	peptides	intensity
P68871	HBB	17	6120500000
P63261	ACTG1	34	4882700000
P02675	FGB	52	4427600000
P02679	FGG	42	3500200000
P02751	FN1	104	2785500000
P12111	COL6A3	148	1954300000
P08670	VIM	70	1801800000
A8K7I4	CLCA1	56	1404600000
P21333	FLNA	144	1322400000
Q9UGM3	DMBT1	29	1224600000
Q99879	HIST1H2BM	14	1114400000
P62805	HIST1H4A	15	945970000
P02788	LTF	60	891730000
Q99715	COL12A1	116	707970000
P62736	ACTA2	27	651350000
P08123	COL1A2	23	611100000
O43707	ACTN4	61	610540000
P00558	PGK1	40	582080000
Q15063	POSTN	46	539710000
P24821	TNC	79	525420000
P04075	ALDOA	34	521300000
P06733	ENO1	36	491860000
P04003	C4BPA	27	491420000
P05164	MPO	39	477620000
P00738	HP	30	477310000
P05451	REG1A	9	459720000
P68431	HIST1H3A	12	457050000
O95198	KLHL2	1	451170000
P07437	TUBB	33	444570000
P06576	ATP5B	24	444410000
P08311	CTSG	18	428920000
P09382	LGALS1	12	414590000
Q9Y490	TLN1	99	400040000
P35555	FBN1	91	396740000
O95994	AGR2	10	383570000
Q15149	PLEC	215	372450000
P12109	COL6A1	40	362900000
P30101	PDIA3	44	359180000
P02545	LMNA	56	341820000
O75369	FLNB	120	334400000
P98160	HSPG2	98	319900000
P23528	CFL1	20	316780000
P63104	YWHAZ	24	308200000
P10909	CLU	22	306580000
P13639	EEF2	47	306040000
P04083	ANXA1	31	300190000
P08727	KRT19	42	290190000
P37802	TAGLN2	21	277700000
P07237	P4HB	41	276900000
P10809	HSPD1	48	273120000
P11142	HSPA8	37	271590000
P12814	ACTN1	59	266160000
P01023	A2M	55	249480000
P25705	ATP5A1	34	240910000
P40926	MDH2	21	229000000
Q01995	TAGLN	20	226750000
Q00610	CLTC	69	223230000
P60174	TPI1	19	211190000
Q9Y6R7	FCGBP	68	205880000
P50454	SERPINH1	20	203690000
Q15582	TGFBI	29	200930000
P12110	COL6A2	29	198270000
P01011	SERPINA3	20	198250000
Q15084	PDIA6	20	188000000
P18206	VCL	57	182880000
Q9HC84	MUC5B	66	182140000
P10412	HIST1H1E	16	181040000
P13796	LCP1	38	179940000
Q06830	PRDX1	19	179460000
P62979	RPS27A	12	179010000
P61626	LYZ	11	178320000
P02042	HBD	16	171270000
P21796	VDAC1	19	170090000
P46940	IQGAP1	68	169250000
Q14764	MVP	52	168460000
P09525	ANXA4	22	163180000
P08865	RPSA	11	156850000
P16401	HIST1H1B	14	154310000
O00299	CLIC1	15	152130000
P09211	GSTP1	11	149700000
P08246	ELANE	7	148660000
P22314	UBA1	34	148460000
P12429	ANXA3	26	147640000
Q99766	ATP5S	1	146500000
P06744	GPI	22	144060000
Q07065	CKAP4	37	137290000
P07339	CTSD	15	137260000
P27797	CALR	22	134410000
P32119	PRDX2	14	127840000
P61978	HNRNPK	22	123980000
P62258	YWHAE	18	118650000
Q9Y2Z9	COQ6	1	116580000
P13667	PDIA4	34	116120000
Q9UI42	CPA4	1	113510000
P07858	CTSB	14	113410000
P04843	RPN1	30	110940000
Q14204	DYNC1H1	102	110630000
P01833	PIGR	29	109990000
P38646	HSPA9	27	109760000
Q9P2E9	RRBP1	57	108680000
P14174	MIF	2	108510000
P23284	PPIB	17	108250000
P00751	CFB	27	107190000
Q15365	PCBP1	11	106460000
P05091	ALDH2	26	106210000
P30044	PRDX5	12	103740000
P48304	REG1B	6	102770000
P01008	SERPINC1	20	101200000
P04792	HSPB1	12	101010000
P36578	RPL4	23	98053000
P02763	ORM1	5	97285000
P26038	MSN	39	96362000
P80188	LCN2	9	95866000
Q04917	YWHAH	19	94388000
P61604	HSPE1	10	92085000
Q01082	SPTBN1	67	91302000
P56470	LGALS4	10	91293000
P21810	BGN	12	91198000
P46782	RPS5	11	90184000
P68366	TUBA4A	26	89598000
P17931	LGALS3	10	88530000
P27824	CANX	16	85410000
P62241	RPS8	15	84109000
P13489	RNH1	22	83323000
Q13813	SPTAN1	77	82174000
P60709	ACTB	34	82116000
P60842	EIF4A1	16	81587000
Q00839	HNRNPU	23	81290000
P30041	PRDX6	17	80401000
P20160	AZU1	6	79276000
P01042	KNG1	21	78156000
Q99102	MUC4	24	77583000
P29692	EEF1D	10	76887000
P24158	PRTN3	8	73549000
P59998	ARPC4	7	72926000
P52209	PGD	22	72805000
P50395	GDI2	28	72619000
Q14697	GANAB	31	72601000
O00151	PDLIM1	19	71132000
Q9Y6C2	EMILIN1	34	70485000
P45880	VDAC2	13	70184000
P35232	PHB	17	69023000
P26641	EEF1G	19	68910000
P05386	RPLP1	3	68879000
P09972	ALDOC	12	68669000
Q14103	HNRNPD	14	67796000
P02766	TTR	8	66696000
P19338	NCL	24	66194000
Q8NBS9	TXNDC5	14	66165000
P02743	APCS	7	65906000
O15355	PPM1G	7	65847000
O75083	WDR1	23	64189000
P12724	RNASE3	8	63340000
Q7Z406	MYH14	80	62178000
Q8WUF5	PPP1R13L	1	62165000
P04080	CSTB	6	61831000
P31146	CORO1A	20	61750000
Q9BQE3	TUBA1C	28	61383000
P30050	RPL12	8	61100000
P09651	HNRNPA1	17	60616000
Q14974	KPNB1	20	60553000
Q9Y678	COPG1	31	59636000
P40939	HADHA	26	58118000
P49368	CCT3	22	57942000
P63244	GNB2L1	15	57055000
P43490	NAMPT	19	56095000
P15153	RAC2	10	55882000
P62424	RPL7A	13	55398000
P23396	RPS3	19	55046000
P52597	HNRNPF	9	55006000
P47756	CAPZB	15	54981000
P05141	SLC25A5	14	54521000
P50990	CCT8	31	53450000
P26599	PTBP1	13	53165000
Q99497	PARK7	11	53097000
P61247	RPS3A	17	52885000
Q15366	PCBP2	8	52733000
Q8WUM4	PDCD6IP	28	52721000
P05387	RPLP2	5	52503000
P37837	TALDO1	11	52239000
O75367	H2AFY	12	51879000
P67936	TPM4	24	51819000
P53621	COPA	36	51506000
P20700	LMNB1	28	50706000
P62263	RPS14	10	50503000
P00915	CA1	12	50372000
P78371	CCT2	26	50284000
P62269	RPS18	9	50079000
P62826	RAN	11	49961000
P05026	ATP1B1	6	49593000
P48637	GSS	5	49357000
P40925	MDH1	13	49229000
P08572	COL4A2	12	47868000
Q9H299	SH3BGRL3	4	47338000
P14780	MMP9	20	47115000
P15924	DSP	58	45957000
P05155	SERPING1	15	45845000
P08571	CD14	10	45641000
P50991	CCT4	24	45282000
Q8N257	HIST3H2BB	8	44723000
P15880	RPS2	15	44659000
Q02878	RPL6	15	44381000
P26373	RPL13	10	43698000
P52272	HNRNPM	22	43614000
P62879	GNB2	11	43570000
Q16555	DPYSL2	19	43517000
P13611	VCAN	19	43406000
P50995	ANXA11	17	43200000
P02461	COL3A1	7	42900000
P07942	LAMB1	33	42854000
P62701	RPS4X	16	42800000
O15143	ARPC1B	15	42417000
Q92841	DDX17	20	42292000
P02747	C1QC	5	41312000
P53618	COPB1	23	40624000
P04844	RPN2	16	40614000
P31946	YWHAB	18	40570000
P00918	CA2	10	39885000
P51571	SSR4	6	39783000
P07585	DCN	13	39765000
Q9Y6N5	SQRDL	17	39686000
P30153	PPP2R1A	20	39623000
P17987	TCP1	24	39348000
Q9H3R2	MUC13	7	39230000
P52566	ARHGDIB	9	39088000
P02792	FTL	5	38861000
P02656	APOC3	3	38165000
P62750	RPL23A	11	37931000
O15204	ADAMDEC1	8	37898000
P39019	RPS19	11	37877000
P14866	HNRNPL	19	37639000
P31930	UQCRC1	16	37439000
P12956	XRCC6	24	37418000
P78527	PRKDC	49	37238000
P61160	ACTR2	14	36461000
P31943	HNRNPH1	12	35994000
P07954	FH	10	35847000
Q8IZM8	ZNF654	1	35827000
P06731	CEACAM5	8	35739000
P49411	TUFM	13	35502000
P51149	RAB7A	11	35098000
P11586	MTHFD1	27	35086000
P04196	HRG	11	34905000
P54819	AK2	13	34327000
P78417	GSTO1	8	34303000
P27348	YWHAQ	17	34027000
Q96QK1	VPS35	14	33737000
Q99623	PHB2	13	33579000
P30040	ERP29	9	32989000
Q96AG4	LRRC59	12	32848000
O60701	UGDH	15	32707000
P14923	JUP	19	32689000
P49327	FASN	31	32625000
P30048	PRDX3	7	32463000
P39060	COL18A1	12	31775000
O60506	SYNCRIP	13	31695000
Q08211	DHX9	21	31692000
Q13421	MSLN	14	31482000
P51659	HSD17B4	18	31399000
P42704	LRPPRC	37	31214000
P48047	ATP5O	12	30977000
P98095	FBLN2	8	30964000
P61981	YWHAG	14	30785000
P09960	LTA4H	24	30633000
P62829	RPL23	6	29952000
P51911	CNN1	10	29809000
P30085	CMPK1	12	29770000
Q99536	VAT1	13	29735000
O00159	MYO1C	23	29587000
P04040	CAT	19	29465000
Q00325	SLC25A3	5	29449000
Q96KP4	CNDP2	13	29312000
O60664	PLIN3	15	29233000
P46781	RPS9	11	29179000
P13073	COX4I1	7	29052000
Q6UX06	OLFM4	9	29042000
P22695	UQCRC2	14	28748000
Q7RTV0	PHF5A	2	28571000
Q16851	UGP2	12	28561000
P02652	APOA2	7	28437000
P12277	CKB	11	28400000
Q7KZF4	SND1	23	28255000
Q99832	CCT7	20	28193000
P47755	CAPZA2	10	27962000
P62753	RPS6	8	27897000
P21291	CSRP1	8	27841000
P43243	MATR3	12	27804000
Q13263	TRIM28	20	27757000
Q8WX93	PALLD	17	27753000
P48643	CCT5	16	27730000
Q05707	COL14A1	28	27684000
Q06323	PSME1	14	27619000
P41218	MNDA	16	27571000
Q07960	ARHGAP1	10	27460000
P35237	SERPINB6	12	27261000
P48735	IDH2	19	27214000
Q9BS26	ERP44	8	26693000
P37108	SRP14	3	26533000
P00352	ALDH1A1	15	26454000
P15941	MUC1	5	26425000
P31939	ATIC	19	26056000
P00387	CYB5R3	9	26004000
Q15019	SEPT2	11	25547000
P16144	ITGB4	20	25527000
P60981	DSTN	8	25347000
Q9NZL9	MAT2B	4	25283000
P50914	RPL14	7	25170000
Q14847	LASP1	9	25140000
P16422	EPCAM	8	25038000
Q86VP6	CAND1	22	25009000
O15145	ARPC3	9	24953000
P34932	HSPA4	20	24730000
P14314	PRKCSH	10	24571000
P46776	RPL27A	6	24543000
O95336	PGLS	11	24390000
Q86UX7	FERMT3	12	24357000
P54136	RARS	20	24344000
P25311	AZGP1	10	24325000
Q92597	NDRG1	6	24264000
P62136	PPP1CA	16	24241000
P23381	WARS	18	24170000
Q9H4A4	RNPEP	17	24134000
P07741	APRT	11	24008000
P17980	PSMC3	14	23857000
P46777	RPL5	11	23832000
P35606	COPB2	23	23736000
Q9NVA2	SEPT11	12	23725000
P22234	PAICS	14	23539000
P53396	ACLY	17	23359000
P01019	AGT	10	23315000
Q99439	CNN2	11	23310000
P50552	VASP	15	23293000
Q16363	LAMA4	21	23075000
Q07020	RPL18	8	22999000
P21964	COMT	7	22919000
P14543	NID1	15	22914000
P13804	ETFA	15	22910000
Q14152	EIF3A	20	22838000
P13861	PRKAR2A	7	22561000
P39656	DDOST	10	22558000
P62851	RPS25	6	22532000
P31942	HNRNPH3	5	22505000
P20851	C4BPB	6	22482000
P40261	NNMT	9	22335000
P16615	ATP2A2	20	22292000
P52565	ARHGDIA	7	22200000
Q96HF1	SFRP2	10	22088000
P23229	ITGA6	15	22083000
O75594	PGLYRP1	3	22071000
P55084	HADHB	19	21893000
P49748	ACADVL	17	21842000
P24752	ACAT1	8	21788000
P84095	RHOG	10	21731000
Q9HDC9	APMAP	11	21718000
P52907	CAPZA1	9	21577000
P31948	STIP1	16	21557000
P02730	SLC4A1	10	21483000
P61586	RHOA	7	21411000
P36871	PGM1	19	21347000
P62081	RPS7	9	21305000
P10599	TXN	8	21207000
P08697	SERPINF2	8	20986000
Q12906	ILF3	18	20892000
P61923	COPZ1	8	20780000
P11678	EPX	16	20742000
P24534	EEF1B2	6	20726000
Q16762	TST	9	20694000
Q15417	CNN3	12	20614000
Q14315	FLNC	46	20609000
P19367	HK1	23	20582000
P63220	RPS21	7	20546000
P34897	SHMT2	15	20417000
O15511	ARPC5	5	20387000
O75947	ATP5H	11	20342000
P13010	XRCC5	18	20328000
O75390	CS	10	20235000
Q16891	IMMT	17	20143000
P62277	RPS13	9	20085000
Q13838	DDX39B	14	20072000
P62913	RPL11	9	19832000
P83731	RPL24	6	19686000
P21399	ACO1	15	19583000
P42765	ACAA2	16	19464000
