protein_id	gene_names	peptides	intensity
P63261	ACTG1	22	3762700000
P62805	HIST1H4A	12	1744900000
P68871	HBB	13	1671300000
Q9Y6R7	FCGBP	90	1379300000
P08670	VIM	43	1238800000
P62736	ACTA2	21	922250000
Q99879	HIST1H2BM	8	878840000
P06576	ATP5B	22	870420000
P11678	EPX	34	782340000
P56470	LGALS4	14	779890000
P12111	COL6A3	80	760540000
P08123	COL1A2	16	659810000
P21333	FLNA	109	646800000
A8K7I4	CLCA1	41	643740000
O95994	AGR2	10	624210000
P13727	PRG2	9	590350000
P08727	KRT19	35	580620000
O43707	ACTN4	50	539680000
P25705	ATP5A1	29	512200000
P04075	ALDOA	22	419550000
P00738	HP	25	405500000
P40926	MDH2	17	383080000
P68431	HIST1H3A	6	369950000
P02679	FGG	22	359080000
Q00610	CLTC	72	349310000
P00918	CA2	16	345300000
P00558	PGK1	27	328790000
P02675	FGB	27	328270000
P10412	HIST1H1E	10	327800000
P23528	CFL1	17	326070000
P30101	PDIA3	37	322670000
P11142	HSPA8	31	320670000
Q01995	TAGLN	16	315130000
P63104	YWHAZ	17	309520000
P06733	ENO1	21	304000000
P35555	FBN1	68	283540000
P12724	RNASE3	8	282330000
O75369	FLNB	95	276740000
P07237	P4HB	30	272900000
P10153	RNASE2	3	270490000
P17931	LGALS3	9	258290000
O95198	KLHL2	1	253760000
P02545	LMNA	33	243380000
O60844	ZG16	5	241640000
Q06830	PRDX1	16	240550000
P13639	EEF2	39	229980000
P01833	PIGR	24	222030000
Q05707	COL14A1	51	220260000
P10809	HSPD1	33	220160000
Q9Y490	TLN1	84	219970000
P05141	SLC25A5	12	214580000
P12109	COL6A1	25	212580000
P13667	PDIA4	30	209030000
P07437	TUBB	26	196220000
P27797	CALR	15	195350000
P05091	ALDH2	24	190030000
Q15084	PDIA6	13	188990000
P46940	IQGAP1	59	188260000
Q14764	MVP	37	184180000
Q15149	PLEC	115	178820000
Q14697	GANAB	30	178580000
Q8NBS9	TXNDC5	17	177890000
P07339	CTSD	14	176540000
Q13813	SPTAN1	91	174120000
P23284	PPIB	11	172250000
P00326	ADH1C	20	161800000
P13796	LCP1	34	160700000
P62979	RPS27A	9	157590000
P09382	LGALS1	7	156400000
