protein_id	gene_names	peptides	intensity
P68871	HBB	14	7632300000
P63261	ACTG1	23	3814500000
P62805	HIST1H4A	12	2359800000
O95994	AGR2	11	1915000000
P02679	FGG	20	1770600000
P12111	COL6A3	88	1547700000
P02675	FGB	31	1518100000
Q99879	HIST1H2BM	10	1475100000
P02751	FN1	66	1382300000
P08727	KRT19	35	1248000000
O43707	ACTN4	46	1148400000
P06733	ENO1	27	1041600000
P08670	VIM	40	965520000
P25705	ATP5A1	25	963800000
P30101	PDIA3	36	935060000
P13639	EEF2	39	931000000
P21333	FLNA	86	895810000
P06576	ATP5B	24	876470000
Q15084	PDIA6	16	841730000
P04075	ALDOA	24	759200000
P10809	HSPD1	33	755820000
P07237	P4HB	32	726370000
P13667	PDIA4	33	671190000
P10412	HIST1H1E	11	649660000
P61978	HNRNPK	13	624170000
P00558	PGK1	26	623310000
P63104	YWHAZ	19	615460000
P40926	MDH2	18	576350000
P49327	FASN	66	557680000
P23528	CFL1	12	533390000
P24821	TNC	49	531370000
O75369	FLNB	82	527730000
Q00610	CLTC	67	526190000
P01023	A2M	41	509640000
P02545	LMNA	36	497590000
Q15149	PLEC	130	488350000
P08123	COL1A2	12	488090000
Q99715	COL12A1	72	480390000
P08865	RPSA	10	474160000
P11142	HSPA8	31	465590000
P68431	HIST1H3A	6	454070000
P07437	TUBB	25	453430000
P21796	VDAC1	16	442810000
P32119	PRDX2	12	432640000
P62736	ACTA2	20	420210000
P27797	CALR	15	411440000
P02788	LTF	38	410540000
P46940	IQGAP1	57	394130000
P12109	COL6A1	25	376500000
Q13813	SPTAN1	87	374500000
P38646	HSPA9	22	366960000
P05141	SLC25A5	13	346110000
P23284	PPIB	14	340600000
P22314	UBA1	27	336410000
P27824	CANX	16	335890000
Q14204	DYNC1H1	87	333680000
Q9Y490	TLN1	62	331870000
P26599	PTBP1	12	328380000
Q14764	MVP	31	327560000
P05387	RPLP2	7	321700000
O00299	CLIC1	13	314340000
P06744	GPI	16	306280000
Q01082	SPTBN1	70	301310000
P62979	RPS27A	5	299580000
P19338	NCL	18	295040000
P12814	ACTN1	41	291970000
P05164	MPO	23	286020000
Q15582	TGFBI	23	283160000
P37802	TAGLN2	14	278110000
Q9UGM3	DMBT1	14	277620000
P00918	CA2	10	274130000
P62258	YWHAE	17	273360000
Q9BQE3	TUBA1C	21	269410000
P04083	ANXA1	16	255580000
P56470	LGALS4	9	255390000
P50395	GDI2	23	252100000
P61604	HSPE1	8	250820000
P62241	RPS8	12	250010000
P35232	PHB	12	248350000
P05091	ALDH2	20	248250000
P30044	PRDX5	10	248180000
Q00839	HNRNPU	20	235730000
P98160	HSPG2	47	233510000
P45880	VDAC2	14	231120000
P36578	RPL4	20	229940000
P52597	HNRNPF	6	227950000
Q14697	GANAB	29	226280000
P15924	DSP	53	224670000
P11216	PYGB	25	224460000
P04843	RPN1	18	213180000
P46782	RPS5	6	211860000
Q15063	POSTN	16	201600000
P09525	ANXA4	15	199810000
P02042	HBD	13	196350000
P12429	ANXA3	17	195700000
P13796	LCP1	24	195150000
