protein_id	gene_names	peptides	intensity
Q15149	PLEC	126	258190000
Q13813	SPTAN1	111	315230000
Q14204	DYNC1H1	110	244000000
P21333	FLNA	99	498490000
P12111	COL6A3	96	1084200000
O75369	FLNB	95	342630000
Q01082	SPTBN1	90	306620000
P78527	PRKDC	86	133870000
Q00610	CLTC	76	482730000
Q9Y490	TLN1	75	245600000
P46940	IQGAP1	70	295830000
P02751	FN1	67	521930000
P15924	DSP	64	142130000
Q92616	GCN1L1	63	93763000
O43707	ACTN4	53	630390000
Q99715	COL12A1	53	97396000
P42704	LRPPRC	53	104210000
Q7Z406	MYH14	53	65312000
P98160	HSPG2	52	100770000
P12814	ACTN1	49	175300000
Q6P2Q9	PRPF8	49	59974000
P49327	FASN	48	118840000
P13639	EEF2	45	536490000
P24821	TNC	43	115780000
P02788	LTF	43	499250000
P18206	VCL	43	109770000
P08670	VIM	43	969670000
P10809	HSPD1	41	1055400000
P35555	FBN1	39	59469000
P02545	LMNA	39	352510000
Q63HN8	RNF213	39	25043000
Q9HC84	MUC5B	37	52195000
P01023	A2M	36	144110000
P22314	UBA1	36	489440000
Q14764	MVP	36	149620000
Q14697	GANAB	36	216610000
P11142	HSPA8	35	373170000
P02675	FGB	34	748370000
P13796	LCP1	34	278310000
P53621	COPA	33	90556000
Q08211	DHX9	33	119210000
P30101	PDIA3	33	439740000
P52272	HNRNPM	33	142380000
P07237	P4HB	33	325980000
P16615	ATP2A2	32	114620000
P01833	PIGR	32	613030000
P42224	STAT1	32	140430000
P12270	TPR	32	37995000
P09874	PARP1	31	102990000
P20700	LMNB1	31	120930000
P05164	MPO	31	337070000
P00558	PGK1	31	985030000
P13667	PDIA4	31	225590000
P50395	GDI2	30	258800000
P08727	KRT19	30	519330000
P11586	MTHFD1	30	113010000
P50990	CCT8	30	143800000
P25705	ATP5A1	29	624420000
P35222	CTNNB1	29	69659000
P40939	HADHA	29	134050000
P14923	JUP	29	100650000
Q9Y678	COPG1	29	76648000
Q9NZ08	ERAP1	29	81385000
P04075	ALDOA	28	523650000
P12956	XRCC6	28	158690000
P17987	TCP1	28	131170000
P13010	XRCC5	28	112670000
Q07065	CKAP4	28	106240000
Q01813	PFKP	27	86085000
P36776	LONP1	27	48434000
Q99832	CCT7	27	138090000
P78371	CCT2	27	142780000
P48643	CCT5	27	106240000
