protein_id	gene_names	peptides	intensity
Q15149	PLEC	215	372450000
P12111	COL6A3	148	1954300000
P21333	FLNA	144	1322400000
O75369	FLNB	120	334400000
Q99715	COL12A1	116	707970000
P02751	FN1	104	2785500000
Q14204	DYNC1H1	102	110630000
Q9Y490	TLN1	99	400040000
P98160	HSPG2	98	319900000
P35555	FBN1	91	396740000
Q7Z406	MYH14	80	62178000
P24821	TNC	79	525420000
Q13813	SPTAN1	77	82174000
P08670	VIM	70	1801800000
Q00610	CLTC	69	223230000
P46940	IQGAP1	68	169250000
Q9Y6R7	FCGBP	68	205880000
Q01082	SPTBN1	67	91302000
Q9HC84	MUC5B	66	182140000
O43707	ACTN4	61	610540000
P02788	LTF	60	891730000
P12814	ACTN1	59	266160000
P15924	DSP	58	45957000
Q9P2E9	RRBP1	57	108680000
P18206	VCL	57	182880000
A8K7I4	CLCA1	56	1404600000
P02545	LMNA	56	341820000
P01023	A2M	55	249480000
P02675	FGB	52	4427600000
Q14764	MVP	52	168460000
P78527	PRKDC	49	37238000
P10809	HSPD1	48	273120000
P13639	EEF2	47	306040000
Q14315	FLNC	46	20609000
Q15063	POSTN	46	539710000
P30101	PDIA3	44	359180000
P02679	FGG	42	3500200000
P08727	KRT19	42	290190000
P07237	P4HB	41	276900000
P12109	COL6A1	40	362900000
P00558	PGK1	40	582080000
P05164	MPO	39	477620000
P26038	MSN	39	96362000
P13796	LCP1	38	179940000
P11142	HSPA8	37	271590000
P42704	LRPPRC	37	31214000
Q07065	CKAP4	37	137290000
P53621	COPA	36	51506000
P06733	ENO1	36	491860000
P60709	ACTB	34	82116000
P63261	ACTG1	34	4882700000
P04075	ALDOA	34	521300000
P25705	ATP5A1	34	240910000
P22314	UBA1	34	148460000
P13667	PDIA4	34	116120000
Q9Y6C2	EMILIN1	34	70485000
P07942	LAMB1	33	42854000
P07437	TUBB	33	444570000
P04083	ANXA1	31	300190000
P49327	FASN	31	32625000
P50990	CCT8	31	53450000
Q9Y678	COPG1	31	59636000
Q14697	GANAB	31	72601000
P00738	HP	30	477310000
P04843	RPN1	30	110940000
P12110	COL6A2	29	198270000
Q9UGM3	DMBT1	29	1224600000
P01833	PIGR	29	109990000
Q15582	TGFBI	29	200930000
Q13885	TUBB2A	29	10057000
P50395	GDI2	28	72619000
P20700	LMNB1	28	50706000
Q05707	COL14A1	28	27684000
Q8WUM4	PDCD6IP	28	52721000
Q92616	GCN1L1	28	13284000
Q9BQE3	TUBA1C	28	61383000
P62736	ACTA2	27	651350000
P00751	CFB	27	107190000
P04003	C4BPA	27	491420000
P38646	HSPA9	27	109760000
P11586	MTHFD1	27	35086000
Q9BVA1	TUBB2B	27	0
P05091	ALDH2	26	106210000
P12429	ANXA3	26	147640000
P40939	HADHA	26	58118000
P68366	TUBA4A	26	89598000
P78371	CCT2	26	50284000
P63267	ACTG2	25	0
P15311	EZR	25	18909000
