protein_id	gene_names	peptides	intensity
Q14204	DYNC1H1	115	148240000
Q15149	PLEC	115	178820000
P21333	FLNA	109	646800000
O75369	FLNB	95	276740000
Q13813	SPTAN1	91	174120000
Q9Y6R7	FCGBP	90	1379300000
Q9Y490	TLN1	84	219970000
P12111	COL6A3	80	760540000
P98160	HSPG2	79	155930000
Q01082	SPTBN1	75	145370000
P78527	PRKDC	74	65926000
P15924	DSP	73	122690000
Q00610	CLTC	72	349310000
P35555	FBN1	68	283540000
Q7Z406	MYH14	60	86637000
P46940	IQGAP1	59	188260000
P42704	LRPPRC	57	82440000
Q05707	COL14A1	51	220260000
O43707	ACTN4	50	539680000
P12814	ACTN1	48	120740000
P02751	FN1	46	133070000
P08670	VIM	43	1238800000
A8K7I4	CLCA1	41	643740000
P01023	A2M	40	144410000
P49327	FASN	40	47698000
P13639	EEF2	39	229980000
P18206	VCL	39	134370000
Q9P2E9	RRBP1	38	109760000
P30101	PDIA3	37	322670000
Q14764	MVP	37	184180000
P53621	COPA	36	89109000
P08727	KRT19	35	580620000
P13796	LCP1	34	160700000
P11678	EPX	34	782340000
Q08211	DHX9	33	47615000
P10809	HSPD1	33	220160000
P02545	LMNA	33	243380000
O94832	MYO1D	33	44232000
Q13576	IQGAP2	33	31208000
P11142	HSPA8	31	320670000
Q9Y678	COPG1	31	86115000
P40939	HADHA	30	124990000
P07237	P4HB	30	272900000
P11216	PYGB	30	75829000
P22314	UBA1	30	140330000
P13667	PDIA4	30	209030000
Q92616	GCN1L1	30	13181000
Q14697	GANAB	30	178580000
P25705	ATP5A1	29	512200000
P26038	MSN	29	105140000
O00159	MYO1C	29	33500000
Q12864	CDH17	28	143840000
P11586	MTHFD1	28	36523000
Q9Y6C2	EMILIN1	28	102140000
Q9NZ08	ERAP1	28	75596000
P35222	CTNNB1	27	31002000
P02675	FGB	27	328270000
P50395	GDI2	27	106630000
P00558	PGK1	27	328790000
P35606	COPB2	27	43895000
Q8WUM4	PDCD6IP	27	62160000
Q9Y6N5	SQRDL	27	132490000
P14923	JUP	26	91533000
P07437	TUBB	26	196220000
P12109	COL6A1	25	212580000
P00738	HP	25	405500000
P52272	HNRNPM	25	47925000
P04843	RPN1	25	111190000
P15311	EZR	25	22077000
P50990	CCT8	25	53071000
P05091	ALDH2	24	190030000
P53618	COPB1	24	66365000
P01833	PIGR	24	222030000
Q99832	CCT7	24	43287000
Q07065	CKAP4	24	72331000
Q9Y3Z3	SAMHD1	24	41102000
Q14974	KPNB1	23	49687000
Q14651	PLS1	23	37716000
Q13885	TUBB2A	23	7181600
O60701	UGDH	23	83177000
O75083	WDR1	23	103300000
Q15063	POSTN	23	119580000
Q7KZF4	SND1	23	30173000
Q9BVA1	TUBB2B	23	800720
P49748	ACADVL	22	66460000
P53396	ACLY	22	26016000
