protein_id	gene_names	peptides	intensity
Q15149	PLEC	130	488350000
P12111	COL6A3	88	1547700000
Q14204	DYNC1H1	87	333680000
Q13813	SPTAN1	87	374500000
P21333	FLNA	86	895810000
O75369	FLNB	82	527730000
Q99715	COL12A1	72	480390000
Q01082	SPTBN1	70	301310000
Q00610	CLTC	67	526190000
P49327	FASN	66	557680000
P02751	FN1	66	1382300000
P78527	PRKDC	62	158070000
Q9Y490	TLN1	62	331870000
P46940	IQGAP1	57	394130000
P15924	DSP	53	224670000
P24821	TNC	49	531370000
P98160	HSPG2	47	233510000
O43707	ACTN4	46	1148400000
Q7Z406	MYH14	44	73481000
Q92616	GCN1L1	42	94711000
Q9HC84	MUC5B	42	189810000
P01023	A2M	41	509640000
P12814	ACTN1	41	291970000
P08670	VIM	40	965520000
P42704	LRPPRC	40	145130000
P13639	EEF2	39	931000000
P02788	LTF	38	410540000
P30101	PDIA3	36	935060000
P02545	LMNA	36	497590000
P18206	VCL	36	188560000
P08727	KRT19	35	1248000000
Q9P2E9	RRBP1	35	140820000
P10809	HSPD1	33	755820000
P13667	PDIA4	33	671190000
P07237	P4HB	32	726370000
P02675	FGB	31	1518100000
P11142	HSPA8	31	465590000
Q14764	MVP	31	327560000
P53621	COPA	30	172320000
Q8WUM4	PDCD6IP	29	107700000
Q14697	GANAB	29	226280000
Q08211	DHX9	27	179510000
P06733	ENO1	27	1041600000
P22314	UBA1	27	336410000
Q14315	FLNC	26	26148000
O00159	MYO1C	26	96233000
P00558	PGK1	26	623310000
P25705	ATP5A1	25	963800000
P12109	COL6A1	25	376500000
P19367	HK1	25	62022000
P11216	PYGB	25	224460000
P12270	TPR	25	38542000
P50990	CCT8	25	163150000
Q13576	IQGAP2	25	86918000
P07437	TUBB	25	453430000
P04075	ALDOA	24	759200000
P06576	ATP5B	24	876470000
P13796	LCP1	24	195150000
P17987	TCP1	24	127660000
P49368	CCT3	24	179580000
P26640	VARS	24	76305000
