protein_id	gene_names	peptides	intensity
Q15149	PLEC	143	124030000
P21333	FLNA	113	375620000
Q13813	SPTAN1	96	139260000
Q14204	DYNC1H1	87	47844000
P12111	COL6A3	86	337280000
O75369	FLNB	86	157000000
Q01082	SPTBN1	78	97615000
P78527	PRKDC	73	49351000
Q9Y490	TLN1	70	87323000
Q99715	COL12A1	66	85271000
P02751	FN1	66	471890000
P98160	HSPG2	62	96856000
P15924	DSP	61	41503000
P35555	FBN1	60	161120000
P24821	TNC	59	220960000
Q00610	CLTC	57	153300000
P42704	LRPPRC	53	79486000
O43707	ACTN4	52	263320000
Q92616	GCN1L1	52	26530000
P46940	IQGAP1	51	78991000
Q7Z406	MYH14	50	26735000
Q14315	FLNC	47	15009000
P08670	VIM	46	428880000
P12814	ACTN1	45	64808000
P18206	VCL	42	69014000
P02788	LTF	41	111790000
P10809	HSPD1	40	503470000
Q9P2E9	RRBP1	40	29590000
P02675	FGB	38	922450000
P02545	LMNA	37	275850000
P01023	A2M	35	76848000
Q15063	POSTN	35	164210000
P13639	EEF2	34	154320000
P53621	COPA	33	38000000
P49327	FASN	33	23478000
P11142	HSPA8	32	137360000
Q9Y6R7	FCGBP	32	21896000
P13667	PDIA4	32	79031000
P06733	ENO1	31	314520000
P30101	PDIA3	31	142650000
P08727	KRT19	31	334050000
O94832	MYO1D	30	17638000
Q14764	MVP	30	92439000
P07237	P4HB	29	306340000
P11216	PYGB	29	56448000
P04075	ALDOA	28	383520000
P25705	ATP5A1	28	330800000
Q15582	TGFBI	28	141430000
P22314	UBA1	28	81360000
Q07065	CKAP4	28	67015000
Q63HN8	RNF213	28	5757000
P09874	PARP1	27	30144000
Q08211	DHX9	27	38995000
P38646	HSPA9	27	158280000
P20700	LMNB1	27	65853000
P12270	TPR	27	9977800
Q8WUM4	PDCD6IP	27	30151000
Q6P2Q9	PRPF8	27	9995200
P02679	FGG	26	674770000
Q7Z6Z7	HUWE1	26	7612500
P50990	CCT8	26	51540000
Q13576	IQGAP2	26	10353000
Q9Y6C2	EMILIN1	26	26820000
Q13423	NNT	26	30590000
P12956	XRCC6	25	51432000
P00558	PGK1	25	213340000
Q14697	GANAB	25	44275000
Q86VP6	CAND1	25	55887000
P40939	HADHA	24	39779000
Q00839	HNRNPU	24	63502000
P11586	MTHFD1	24	38871000
P19338	NCL	24	96488000
Q16891	IMMT	24	33483000
Q03252	LMNB2	24	27310000
P19367	HK1	23	23744000
P48735	IDH2	23	72593000
P13796	LCP1	23	31985000
P17987	TCP1	23	34971000
P49368	CCT3	23	55509000
Q9Y678	COPG1	23	24525000
P07437	TUBB	23	83683000
P05091	ALDH2	22	73616000
P50395	GDI2	22	57843000
O15230	LAMA5	22	6291500
P05164	MPO	22	68092000
P26640	VARS	22	11942000
P35606	COPB2	22	19644000
P60709	ACTB	21	3034900
P63261	ACTG1	21	941770000
P16615	ATP2A2	21	23093000
P27708	CAD	21	8199100
P12109	COL6A1	21	93809000
P00738	HP	21	85611000
P34932	HSPA4	21	20928000
P41252	IARS	21	9550500
P14923	JUP	21	29266000
P07942	LAMB1	21	13147000
P26038	MSN	21	36520000
P04843	RPN1	21	41510000
Q16658	FSCN1	21	40177000
P13010	XRCC5	21	44847000
Q92841	DDX17	21	45595000
Q99832	CCT7	21	47306000
P78371	CCT2	21	42983000
P48643	CCT5	21	17997000
P04083	ANXA1	20	56549000
P31939	ATIC	20	20491000
Q16555	DPYSL2	20	82893000
P36578	RPL4	20	71756000
Q13885	TUBB2A	20	3002500
Q14152	EIF3A	20	13987000
Q9BSJ8	ESYT1	20	20088000
Q9Y3Z3	SAMHD1	20	13965000
Q9Y6N5	SQRDL	20	36773000
Q9BVA1	TUBB2B	20	247070
Q12864	CDH17	19	51527000
P53618	COPB1	19	18884000
Q92499	DDX1	19	18073000
P51659	HSD17B4	19	14583000
Q14974	KPNB1	19	26339000
P40926	MDH2	19	260100000
Q13200	PSMD2	19	14711000
P13489	RNH1	19	46099000
P09493	TPM1	19	9234900
P68366	TUBA4A	19	26385000
P63104	YWHAZ	19	175080000
P54577	YARS	19	13770000
Q96I99	SUCLG2	19	37668000
P43243	MATR3	19	20563000
P04350	TUBB4A	19	1707900
P31948	STIP1	19	33042000
Q5T4S7	UBR4	19	2843000
P49748	ACADVL	18	32756000
P62736	ACTA2	18	185110000
P63267	ACTG2	18	211660
P06576	ATP5B	18	328870000
P50454	SERPINH1	18	46730000
Q16531	DDB1	18	8041300
O00571	DDX3X	18	17821000
P27487	DPP4	18	8545100
P06744	GPI	18	96166000
P09960	LTA4H	18	20942000
P14543	NID1	18	11724000
Q01813	PFKP	18	12084000
P29590	PML	18	15212000
P23396	RPS3	18	71210000
P29144	TPP2	18	6018700
P49411	TUFM	18	52786000
P21796	VDAC1	18	220550000
Q15029	EFTUD2	18	10425000
Q9NZ08	ERAP1	18	13211000
P63010	AP2B1	17	18121000
P00751	CFB	17	20021000
P27824	CANX	17	74985000
P55060	CSE1L	17	11590000
Q04637	EIF4G1	17	10027000
P31150	GDI1	17	6661900
P00505	GOT2	17	55451000
Q14573	ITPR3	17	4984500
P52272	HNRNPM	17	34517000
O60313	OPA1	17	6546900
P52209	PGD	17	21241000
P13797	PLS3	17	11675000
P54886	ALDH18A1	17	9112200
Q02878	RPL6	17	72748000
P34897	SHMT2	17	38180000
P42224	STAT1	17	11559000
O60763	USO1	17	9119500
O95831	AIFM1	17	12629000
O75083	WDR1	17	33535000
Q13509	TUBB3	17	4365100
O60506	SYNCRIP	17	29468000
P50991	CCT4	17	47402000
Q96QK1	VPS35	17	29398000
O00468	AGRN	17	5820700
P49588	AARS	16	9253900
P49189	ALDH9A1	16	41221000
P09525	ANXA4	16	40820000
P48444	ARCN1	16	16491000
P17844	DDX5	16	10248000
Q14126	DSG2	16	12038000
Q12906	ILF3	16	22693000
O00410	IPO5	16	7123100
P46459	NSF	16	15889000
Q06830	PRDX1	16	142220000
P01833	PIGR	16	23575000
P62136	PPP1CA	16	13440000
O43242	PSMD3	16	8397000
P62701	RPS4X	16	41308000
O60701	UGDH	16	24283000
P36776	LONP1	16	14990000
O75367	H2AFY	16	62291000
Q15084	PDIA6	16	96977000
O43390	HNRNPR	16	19700000
Q9Y230	RUVBL2	16	12633000
O94979	SEC31A	16	9411700
O75533	SF3B1	16	9274600
O76021	RSL1D1	16	10351000
Q7KZF4	SND1	16	15517000
P28838	LAP3	16	13209000
Q9Y262	EIF3L	16	8476300
Q9BQE3	TUBA1C	16	16767000
P30837	ALDH1B1	15	23319000
P50995	ANXA11	15	34016000
P27797	CALR	15	75809000
P12110	COL6A2	15	68599000
O43143	DHX15	15	11933000
P60842	EIF4A1	15	51277000
P07954	FH	15	28620000
P17174	GOT1	15	59057000
P55084	HADHB	15	37213000
P09651	HNRNPA1	15	52889000
P61978	HNRNPK	15	110320000
Q15046	KARS	15	8913000
P21397	MAOA	15	23889000
P08582	MFI2	15	6568700
Q9UQ80	PA2G4	15	39152000
Q14651	PLS1	15	8365600
Q15181	PPA1	15	42829000
P30153	PPP2R1A	15	26434000
P47897	QARS	15	8304400
P26639	TARS	15	9238000
P60174	TPI1	15	114050000
P22695	UQCRC2	15	30366000
P45880	VDAC2	15	122800000
P15311	EZR	15	11300000
Q92945	KHSRP	15	24810000
P30041	PRDX6	15	64819000
P38919	EIF4A3	15	10363000
Q12931	TRAP1	15	41029000
P43490	NAMPT	15	29447000
Q13263	TRIM28	15	27281000
P63244	GNB2L1	15	72733000
