Protein IDs;Majority protein IDs;Peptide counts (all);Peptide counts (razor+unique);Peptide counts (unique);Protein names;Gene names;Fasta headers;Number of proteins;Peptides;Razor + unique peptides;Unique peptides;Peptides AA3672;Peptides AA3710;Peptides AA3715;Peptides AA3864;Peptides AAA00J;Peptides AAA00N;Peptides AAA010;Peptides AAA01R;Peptides AAA022;Peptides AGA002;Peptides AGA02N;Razor + unique peptides AA3672;Razor + unique peptides AA3710;Razor + unique peptides AA3715;Razor + unique peptides AA3864;Razor + unique peptides AAA00J;Razor + unique peptides AAA00N;Razor + unique peptides AAA010;Razor + unique peptides AAA01R;Razor + unique peptides AAA022;Razor + unique peptides AGA002;Razor + unique peptides AGA02N;Unique peptides AA3672;Unique peptides AA3710;Unique peptides AA3715;Unique peptides AA3864;Unique peptides AAA00J;Unique peptides AAA00N;Unique peptides AAA010;Unique peptides AAA01R;Unique peptides AAA022;Unique peptides AGA002;Unique peptides AGA02N;Sequence coverage [%];Unique + razor sequence coverage [%];Unique sequence coverage [%];Mol. weight [kDa];Sequence length;Sequence lengths;Fraction average;Fraction 1;Q-value;Score;Sequence coverage AA3672 [%];Sequence coverage AA3710 [%];Sequence coverage AA3715 [%];Sequence coverage AA3864 [%];Sequence coverage AAA00J [%];Sequence coverage AAA00N [%];Sequence coverage AAA010 [%];Sequence coverage AAA01R [%];Sequence coverage AAA022 [%];Sequence coverage AGA002 [%];Sequence coverage AGA02N [%];Intensity;Intensity AA3672;Intensity AA3710;Intensity AA3715;Intensity AA3864;Intensity AAA00J;Intensity AAA00N;Intensity AAA010;Intensity AAA01R;Intensity AAA022;Intensity AGA002;Intensity AGA02N
"P01850;A0A5B9";"P01850;A0A5B9";"1;1";"1;1";"1;1";"T-cell receptor beta-1 chain C region;T-cell receptor beta-2 chain C region";"TRBC1;TRBC2";">sp|P01850|TRBC1_HUMAN T-cell receptor beta-1 chain C region OS=Homo sapiens GN=TRBC1 PE=1 SV=3;>sp|A0A5B9|TRBC2_HUMAN T-cell receptor beta-2 chain C region OS=Homo sapiens GN=TRBC2 PE=1 SV=1";2;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5.6;5.6;5.6;19898;177;"177;178";1;1;0;7.9279;0;0;0;0;0;0;0;5.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A0AV96;A0AV96;17;17;14;RNA-binding protein 47;RBM47;>sp|A0AV96|RBM47_HUMAN RNA-binding protein 47 OS=Homo sapiens GN=RBM47 PE=1 SV=2;1;17;17;14;8;7;0;10;5;4;4;5;7;8;3;8;7;0;10;5;4;4;5;7;8;3;7;5;0;10;5;4;4;5;7;8;3;38.4;38.4;34.7;64098;593;593;1;73;0;67.22;19.1;15.2;0;23.6;9.1;10.8;9.3;10.6;18.5;21.8;6.4;80087000;9109600;12307000;0;23424000;1414500;1789700;2639600;4130600;4601000;16057000;4614500
A0AVT1;A0AVT1;34;34;34;Ubiquitin-like modifier-activating enzyme 6;UBA6;>sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6 PE=1 SV=1;1;34;34;34;5;17;4;17;15;8;4;23;16;3;8;5;17;4;17;15;8;4;23;16;3;8;5;17;4;17;15;8;4;23;16;3;8;35.6;35.6;35.6;117.97;1052;1052;1;134;0;298.65;5.8;19.1;4.5;18.3;16.1;9.4;5.4;26.3;17.6;3;8.6;114010000;2256400;12591000;564360;42128000;4049300;2300000;1595600;32402000;8979300;3218000;3922900
A0FGR8;A0FGR8;13;13;13;Extended synaptotagmin-2;ESYT2;>sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens GN=ESYT2 PE=1 SV=1;1;13;13;13;5;4;3;5;8;5;4;3;9;7;7;5;4;3;5;8;5;4;3;9;7;7;5;4;3;5;8;5;4;3;9;7;7;18.1;18.1;18.1;102.36;921;921;1;69;0;78919;7.1;5.3;4.6;6.3;11.8;7.5;5.3;4;13.2;10.1;8.7;55628000;5208600;4589100;371780;8722400;5034000;1658600;2546000;3033300;3061800;13806000;7597200
A0MZ66;A0MZ66;11;11;11;Shootin-1;KIAA1598;>sp|A0MZ66|SHOT1_HUMAN Shootin-1 OS=Homo sapiens GN=KIAA1598 PE=1 SV=4;1;11;11;11;2;0;0;6;1;1;0;4;1;0;0;2;0;0;6;1;1;0;4;1;0;0;2;0;0;6;1;1;0;4;1;0;0;23.9;23.9;23.9;71639;631;631;1;15;0;14717;3;0;0;13.2;2.7;1.9;0;10;2.1;0;0;9734800;1728000;0;0;4065500;92458;184900;0;3589300;74483;0;0
A1L0T0;A1L0T0;13;13;13;Acetolactate synthase-like protein;ILVBL;>sp|A1L0T0|ILVBL_HUMAN Acetolactate synthase-like protein OS=Homo sapiens GN=ILVBL PE=1 SV=2;1;13;13;13;2;8;1;9;4;5;10;9;6;2;4;2;8;1;9;4;5;10;9;6;2;4;2;8;1;9;4;5;10;9;6;2;4;32.1;32.1;32.1;67867;632;632;1;83;0;73.06;5.2;22.8;2.7;24.8;12.8;14.9;25.8;22.8;18.8;5.2;12.8;121530000;3276900;24696000;383540;36769000;2100300;3751400;11704000;26743000;5818800;2160200;4130900
A1L188;A1L188;1;1;1;Uncharacterized protein C17orf89;C17orf89;>sp|A1L188|CQ089_HUMAN Uncharacterized protein C17orf89 OS=Homo sapiens GN=C17orf89 PE=4 SV=1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;17.6;17.6;17.6;7.7558;74;74;1;2;0.0037085;2.3637;0;0;0;0;17.6;0;0;0;0;17.6;0;404620;0;0;0;0;99995;0;0;0;0;304630;0
A1YPR0;A1YPR0;2;2;2;Zinc finger and BTB domain-containing protein 7C;ZBTB7C;>sp|A1YPR0|ZBT7C_HUMAN Zinc finger and BTB domain-containing protein 7C OS=Homo sapiens GN=ZBTB7C PE=2 SV=1;1;2;2;2;0;1;0;0;2;0;0;1;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;1;0;0;2;0;0;1;0;0;0;4.4;4.4;4.4;69016;619;619;1;4;0.0098957;1.6675;0;2.4;0;0;4.4;0;0;2.4;0;0;0;6453200;0;1698000;0;0;1378000;0;0;3377200;0;0;0
A2RRP1;A2RRP1;6;6;6;Neuroblastoma-amplified sequence;NBAS;>sp|A2RRP1|NBAS_HUMAN Neuroblastoma-amplified sequence OS=Homo sapiens GN=NBAS PE=1 SV=2;1;6;6;6;0;3;0;3;3;0;2;2;2;0;3;0;3;0;3;3;0;2;2;2;0;3;0;3;0;3;3;0;2;2;2;0;3;2.9;2.9;2.9;268.57;2371;2371;1;20;0;57145;0;1.6;0;1.4;1.5;0;0.9;0.9;1.1;0;1.5;5357300;0;612810;0;2153100;390970;0;596350;535450;201610;0;867010
A2RTX5;A2RTX5;4;2;2;Probable threonine--tRNA ligase 2, cytoplasmic;TARSL2;>sp|A2RTX5|SYTC2_HUMAN Probable threonine--tRNA ligase 2, cytoplasmic OS=Homo sapiens GN=TARSL2 PE=1 SV=1;1;4;2;2;2;2;0;1;1;1;1;1;1;1;1;2;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;5.4;3.4;3.4;92644;802;802;1;4;0.0033476;2.4055;3.4;2;0;1;1;1.5;1;1;1;1;1;12161000;1893800;0;0;0;0;10267000;0;0;0;0;0
